Name,Net Worth,Education
Bill Gates,86,College DO
Warren Buffet,75.6,Masters of Science
Jeff Bezos,72.8,Bachelors
Amancio Ortega,71.3,High school DO
Mark Zuckerburg,56,College DO
Carlos Slim Helu,54.5,Bachelors
Larry Ellison,52.2,College DO
Charles Koch,48.3,Masters of Science
David Koch,48.3,Masters of Science
Michael Bloomberg,47.5,Masters of Business
Bernard Arnault,41.5,Bachelors
Larry Page,40.7,Masters of Science
Sergey Brin,39.8,Masters of Science
Liliane Bettencourt,39.5,High school DO
S. Robinson Walton,34.1,Juris Doctor
Jim Walton,34,Bachelors
Alice Walton,33.8,Bachelors
Wang Jianlin,31.3,Bachelors
Li Ka-shing,31.2,High school DO
Sheldon Adelson,30.4,College DO
Steve Ballmer,30,Bachelors
Jorge Paulo Lemann,29.2,Bachelors
Jack Ma,28.3,Bachelors
Beate Heister & Karl Albrecht Jr.,27.2,N/A
David Thomson,27.2,Masters of Arts
Jacqueline Mars,27,Bachelors
John Mars,27,Bachelors
Phil Knight,26.2,Masters of Business
Maria Franca Fissolo,25.2,N/A
George Soros,25.2,Bachelors
Ma Huateng,24.9,Bachelors
Lee Shua Kee,24.4,N/A
Mukesh Ambani,23.2,Bachelors
Masayoshi Son,21.1,Bachelors
Kjeld Kirk Kristiansen,21.1,Masters of Business
Geogr Schaeffler,20.7,N/A
Joseph Safra,20.5,College DO
Michael Dell,20.4,College DO
Susanne Klatten,20.4,Masters of Business
Len Blavatnik,20,Masters of Science
